IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
DAJANA,KOBIETA,1108
LUDMILA,KOBIETA,1104
AURORA,KOBIETA,1103
ULYANA,KOBIETA,1092
MARIE,KOBIETA,1085
MARIAM,KOBIETA,1082
LUDWINA,KOBIETA,1081
MELISA,KOBIETA,1080
ADOLFINA,KOBIETA,1074
LUDOMIRA,KOBIETA,1071
KAYA,KOBIETA,1066
NIKOLETTA,KOBIETA,1056
INKA,KOBIETA,1052
MELANIIA,KOBIETA,1046
STEFANIIA,KOBIETA,1042
ELIZAVETA,KOBIETA,1035
LILIYA,KOBIETA,1024
ZOE,KOBIETA,1020
CAROLINA,KOBIETA,1014
BERENIKA,KOBIETA,1013
YULIA,KOBIETA,1012
ALOJZA,KOBIETA,1006
ABIGAIL,KOBIETA,1005
RAMONA,KOBIETA,995
ALIONA,KOBIETA,990
EUFROZYNA,KOBIETA,987
SYLWESTRA,KOBIETA,986
LEONA,KOBIETA,975
MELISSA,KOBIETA,971
TAISA,KOBIETA,971
SWIETŁANA,KOBIETA,954
HANA,KOBIETA,951
LEILA,KOBIETA,944
ŻAKLINA,KOBIETA,938
DZIYANA,KOBIETA,937
MICHAELA,KOBIETA,934
DARINA,KOBIETA,927
EMILA,KOBIETA,903
CLARA,KOBIETA,894
MONICA,KOBIETA,893
NINO,KOBIETA,890
EUDOKIA,KOBIETA,876
ELA,KOBIETA,875
SYBILLA,KOBIETA,874
FATIMA,KOBIETA,870
ARYNA,KOBIETA,861
HIERONIMA,KOBIETA,851
SŁAWA,KOBIETA,843
FRYDERYKA,KOBIETA,840
HERONIMA,KOBIETA,838
ROXANA,KOBIETA,835
MARGARETA,KOBIETA,831
ADOLFA,KOBIETA,831
ALMA,KOBIETA,817
ZENAIDA,KOBIETA,815
YAUHENIYA,KOBIETA,811
LIA,KOBIETA,804
GRACJANA,KOBIETA,803
LISA,KOBIETA,803
ELISABETH,KOBIETA,798
WINCENTA,KOBIETA,796
MARGOT,KOBIETA,796
ORYSIA,KOBIETA,791
CHARLOTTE,KOBIETA,789
DOBRAWA,KOBIETA,780
TAMAR,KOBIETA,779
INESA,KOBIETA,776
MYLANA,KOBIETA,776
LILI,KOBIETA,776
BERNARDETA,KOBIETA,772
SILVIA,KOBIETA,770
CYRYLA,KOBIETA,770
KARIN,KOBIETA,765
MIIA,KOBIETA,762
ŻANETTA,KOBIETA,759
VALIANTSINA,KOBIETA,759
LUNA,KOBIETA,754
AUGUSTA,KOBIETA,752
SZARLOTA,KOBIETA,750
RYTA,KOBIETA,739
INHA,KOBIETA,737
LESŁAWA,KOBIETA,731
ELISA,KOBIETA,726
BENITA,KOBIETA,725
RUTH,KOBIETA,724
SELENA,KOBIETA,716
TINA,KOBIETA,716
LUCIA,KOBIETA,716
ZOYA,KOBIETA,716
DOBROCHNA,KOBIETA,711
NARCYZA,KOBIETA,710
MODESTA,KOBIETA,708
IANA,KOBIETA,707
ORIANA,KOBIETA,703
KASANDRA,KOBIETA,703
NELLA,KOBIETA,701
JASMINA,KOBIETA,696
LEONORA,KOBIETA,694
GIULIA,KOBIETA,694
JASMIN,KOBIETA,688
SAMANTHA,KOBIETA,680
KAREN,KOBIETA,680
LIZA,KOBIETA,679
LETYCJA,KOBIETA,677
MELANIE,KOBIETA,675
NELLI,KOBIETA,674
NATASHA,KOBIETA,674
LUCJANNA,KOBIETA,673
NATALYA,KOBIETA,670
JULITTA,KOBIETA,669
JESIKA,KOBIETA,669
EUNIKA,KOBIETA,667
AGNES,KOBIETA,664
LAILA,KOBIETA,661
SYLVIA,KOBIETA,659
SOFIJA,KOBIETA,656
DAGNA,KOBIETA,655
NATHALIE,KOBIETA,652
CATHERINE,KOBIETA,650
JULIANA,KOBIETA,650
SUSANNA,KOBIETA,643
NOA,KOBIETA,640
KATHERINE,KOBIETA,636
MARGARYTA,KOBIETA,634
JESSIKA,KOBIETA,632
BOZHENA,KOBIETA,631
ELMIRA,KOBIETA,627
BIBIANNA,KOBIETA,622
ORYNA,KOBIETA,620
NELL,KOBIETA,620
HERTA,KOBIETA,615
SAMIRA,KOBIETA,614
YAEL,KOBIETA,614
MARTHA,KOBIETA,612
ARIANNA,KOBIETA,612
RADOSŁAWA,KOBIETA,610
LAYLA,KOBIETA,609
NIKOLINA,KOBIETA,606
VIVIEN,KOBIETA,606
ROZA,KOBIETA,603
ROZWITA,KOBIETA,593
PARASKIEWIA,KOBIETA,591
WALTRAUDA,KOBIETA,590
OXANA,KOBIETA,589
ARIADNA,KOBIETA,589
MIŁOSŁAWA,KOBIETA,589
MIRANDA,KOBIETA,588
CHRISTINA,KOBIETA,586
LESYA,KOBIETA,580
STANISLAVA,KOBIETA,578
MARIETA,KOBIETA,577
TEREZA,KOBIETA,575
MIROSLAVA,KOBIETA,574
ALBERTYNA,KOBIETA,574
AIDA,KOBIETA,574
KATHARINA,KOBIETA,573
TATYANA,KOBIETA,565
ANIA,KOBIETA,564
ANICETA,KOBIETA,560
MATILDA,KOBIETA,558
ANGELICA,KOBIETA,556
IRMGARD,KOBIETA,555
INGRIDA,KOBIETA,554
IZOLDA,KOBIETA,553
DOBROMIŁA,KOBIETA,552
WŁODZIMIERA,KOBIETA,547
DELFINA,KOBIETA,547
YUSTYNA,KOBIETA,546
JASMINE,KOBIETA,546
CHRISTINE,KOBIETA,546
MARY,KOBIETA,544
ALEVTYNA,KOBIETA,543
GAIA,KOBIETA,540
NEONILA,KOBIETA,536
DIONIZA,KOBIETA,533
MARIJA,KOBIETA,533
ILZA,KOBIETA,532
HILDA,KOBIETA,528
LUBOW,KOBIETA,528
MARGARET,KOBIETA,524
NIKOLETA,KOBIETA,523
WERA,KOBIETA,522
RYMMA,KOBIETA,514
CHLOE,KOBIETA,513
EDMUNDA,KOBIETA,509
HALSZKA,KOBIETA,507
CHIARA,KOBIETA,505
LUKRECJA,KOBIETA,503
IRENE,KOBIETA,502
GUSTAWA,KOBIETA,502
YEVANHELINA,KOBIETA,501
WIELISŁAWA,KOBIETA,499
JACQUELINE,KOBIETA,498
WALBURGA,KOBIETA,497
NASTIA,KOBIETA,495
ISABELLE,KOBIETA,494
AMIRA,KOBIETA,492
FILIPINA,KOBIETA,491
